Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C106, C107, C108, C109, C110",CP_Radial_D10.0mm_P5.00mm,10,560u,
D101,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4007,
"D102, D103, D104",LED_D5.0mm,3,LED,
F101,FUSE-MCCQ-121,1,Fuse,
J101,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Conn_PWR,
J102,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,V_{COMP},
J103,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J104,PinHeader_2x03_P2.54mm_Vertical,1,E-Stops,
J105,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,Conn_PWR,
"J106, J107",PinHeader_2x06_P2.54mm_Vertical,2,Conn_02x06_Odd_Even,
"J108, J109",AMASS_XT30UPB-F_1x02_P5.0mm_Vertical,2,Conn_PWR,
J110,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Conn_PWR,
J111,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,DMM,
K101,G8PM1AW7RDC12,1,Relay_SPST-NO,
"R101, R102, R103",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,10k,
"U101, U102",TPS5460 康威科技,2,TPS5460 康威科技,
