Designator,Mid X,Mid Y,Rotation,Layer
C101,78.367677,-65.4,0.0,top
C102,78.367677,-76.45,0.0,top
C103,78.367677,-87.5,0.0,top
C104,111.867677,-76.5,0.0,top
C105,111.867677,-87.5,0.0,top
C106,111.867677,-98.5,0.0,top
C107,66.867677,-65.4,0.0,top
C108,66.867677,-76.45,0.0,top
C109,66.867677,-87.5,0.0,top
C110,111.867677,-65.5,0.0,top
D101,124.2,-119.0325,270.0,top
D102,130.5,-97.0,90.0,top
D103,130.5,-86.0,90.0,top
D104,130.5,-74.0,90.0,top
F101,115.0,-130.5,0.0,top
J101,118.0,-145.0,180.0,top
J102,130.475,-130.0,270.0,top
J103,129.0,-118.025,0.0,top
J104,130.225,-108.975,180.0,top
J105,95.0,-70.35,0.0,top
J106,92.0,-141.765,90.0,top
J107,73.5,-141.765,90.0,top
J108,59.0,-123.0,90.0,top
J109,59.0,-138.0,90.0,top
J110,95.4,-87.0,180.0,top
J111,130.475,-143.0,270.0,top
K101,113.0,-118.0,90.0,top
R101,124.0,-74.0,270.0,top
R102,124.0,-86.0,90.0,top
R103,124.0,-97.0,90.0,top
U101,94.5,-115.78,270.0,top
U102,73.5,-115.78,270.0,top
