Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C201, C202, C203, C204, C205, C206, C207, C208, C209",CP_Radial_D10.0mm_P5.00mm,14,560u,
D101,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4007,
"D102, D103, D104",LED_D5.0mm_Clear,3,LED,
F101,FUSE-MCCQ-122,1,Fuse,
J101,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,Power In,
J102,JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,1,V_{Comp},
J106,PinHeader_2x03_P2.54mm_Vertical,1,E-Stops,
"J201, J202, J203, J204, J205, J206, J207, J208, J209",AMASS_XT30U-M_1x02_P5.0mm_Vertical,9,Power Out,
K101,G8PM1AW7RDC12,1,Relay_SPST-NO,
"R101, R102, R103",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,1k,
