Designator,Mid X,Mid Y,Rotation,Layer
C101,57.132323,-113.0,180.0,top
C102,57.132323,-101.45,180.0,top
C103,57.132323,-90.050001,180.0,top
C104,57.132323,-78.5,180.0,top
C105,57.132323,-66.95,180.0,top
C201,77.0,-62.632323,90.0,top
C202,94.0,-62.632323,90.0,top
C203,111.0,-62.632323,90.0,top
C204,77.0,-77.632323,90.0,top
C205,94.0,-77.632323,90.0,top
C206,111.0,-77.632323,90.0,top
C207,77.0,-92.632323,90.0,top
C208,94.0,-92.632323,90.0,top
C209,111.0,-92.632323,90.0,top
D101,86.0,-105.277499,270.0,top
D102,125.5,-98.775,270.0,top
D103,125.5,-88.275,270.0,top
D104,125.5,-77.775,270.0,top
F101,72.0,-106.0,0.0,top
J101,72.85,-120.15,180.0,top
J102,110.5,-110.025,0.0,top
J106,110.5,-117.0,270.0,top
J201,68.5,-62.5,270.0,top
J202,85.5,-62.5,270.0,top
J203,102.5,-62.5,270.0,top
J204,68.5,-77.5,270.0,top
J205,85.5,-77.5,270.0,top
J206,102.5,-77.5,270.0,top
J207,68.5,-92.5,270.0,top
J208,85.5,-92.5,270.0,top
J209,102.5,-92.5,270.0,top
K101,96.132501,-109.8875,90.0,top
R101,123.0,-106.5,270.0,top
R102,118.0,-106.54,270.0,top
R103,120.5,-106.54,270.0,top
