"Reference","Value","Datasheet","Footprint","Qty","DNP","sourcing-part-num","sourcing-remarks"
"C101,C102,C103,C104,C105,C201,C202,C203,C204,C205,C206,C207,C208,C209","560u","~","lib:CP_Radial_D10.0mm_P5.00mm","14","","EEUFR1V561","or any 560uF 35V cap, D10mm P5mm"
"D101","1N4007","~","lib:D_DO-35_SOD27_P7.62mm_Horizontal","1","","1N4007",""
"D102","Blue","~","lib:LED_D5.0mm_Clear","1","","","any blue LED, 5mm"
"D103","Red","~","lib:LED_D5.0mm_Clear","1","","","any red LED, 5mm"
"D104","Green","~","lib:LED_D5.0mm_Clear","1","","","any green LED, 5mm"
"F101","Fuse","~","lib:FUSE-MCCQ-122","1","","MCCQ-122",""
"J101","Power In","~","lib:AMASS_XT60PW-M_1x02_P7.20mm_Horizontal","1","","",""
"J102","V_{Comp}","~","lib:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","1","","","JST XH B2B"
"J106","E-Stops","~","lib:PinHeader_2x03_P2.54mm_Vertical","1","","",""
"J201,J202,J203,J204,J205,J206,J207,J208,J209","Power Out","~","lib:AMASS_XT30U-M_1x02_P5.0mm_Vertical","9","","",""
"K101","Relay_SPST-NO","~","lib:G8PM1AW7RDC12","1","","G8PM-1AW7RDC12",""
"R101,R102,R103","2k","~","lib:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","3","","MF12 2k","or any 2kOhm resistor, L3.6mm"
